Method,Name,Error,Occurrences
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""80cba6c5-a9ef-4e1e-b7e7-ce3b1ca7dea2"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""0b4e4120-8394-49e6-9ce4-2db3a6bee5ea"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""364ce5d6-8323-4756-a1dc-51a801c427ae"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""2d1a18da-0ba4-4b33-90b2-7eb3131f466f"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""d853607c-5cf6-478a-8ea1-cfe68c4bc61d"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""96a9bd32-4cfe-412a-93e9-358348245639"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""30d6c297-70c6-42d0-8197-b9e359e8bf15"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""b357a6d6-5ebd-43dc-b393-05013e14811a"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""d2908235-8733-4daa-9021-a1cbb191d472"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""5d45bad0-ce2c-45ce-b456-91687a55b10f"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""7e8fb77d-03e5-4b32-9543-0633053a815b"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""09446441-f7aa-41f6-83f7-eb49fc04dd8b"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""4001c82b-5145-45a6-ae77-0d6c9b32aac0"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""0a8dde50-8ed6-41e3-838c-fb78900e7bfa"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""3fae82d4-0b4f-4f63-ad0d-cfd44db347e8"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""8a40a8f8-3f4a-4c90-970e-ed2a5827a1fe"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""f04a8edd-989f-4e37-93ea-26b9dce33653"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""f9281fc6-ec01-4d27-b878-32f303b97800"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""d165f462-d47c-48bc-9bdd-2038aa7c7d39"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""cf1c4652-906a-4859-9c8b-0742129bf02b"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""be18a499-02f7-4467-9188-bb016ac7a11b"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""d30d66e5-ed3d-41ec-98f3-28f70f5c425b"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""778b5553-67ff-4c2d-b13c-a5101e13a3a0"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""5781a911-5b78-48f8-8fe9-118dd482ee60"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""a8d8f726-2f03-48c8-b85d-f919664609d0"",""details"":null}}')",1
