Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1771034831,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1771034832,2,,Aggregated,0.000000,0.000000,20,20,20,20,20,20,20,20,20,20,20,2,1,11,15.408291947096586,10.944315697997808,19.872268196195364,620.5
1771034833,4,,Aggregated,0.000000,0.000000,20,29,29,31,31,31,31,31,31,31,31,5,3,20,19.63818520307541,7.210769224911928,30.920404940843582,326.4
1771034834,6,,Aggregated,2.000000,1.000000,20,22,26,29,31,31,31,31,31,31,31,9,5,20,19.290065703292687,7.210769224911928,30.920404940843582,236.88888888888889
1771034835,8,,Aggregated,2.000000,1.500000,20,24,29,29,31,31,31,31,31,31,31,15,10,20,20.01067517946164,7.210769224911928,30.920404940843582,262.46666666666664
1771034836,10,,Aggregated,2.333333,1.333333,19,22,26,29,31,31,31,31,31,31,31,20,13,16,18.010425684042275,7.210769224911928,30.920404940843582,278.45
1771034837,10,,Aggregated,2.750000,1.750000,19,22,23,24,29,31,31,31,31,31,31,26,18,18,17.534488883729164,3.1871688552200794,30.920404940843582,245.5
1771034838,10,,Aggregated,3.400000,2.400000,16,20,22,24,29,31,31,31,31,31,31,30,22,16,16.96655700604121,3.1871688552200794,30.920404940843582,231.56666666666666
1771034839,10,,Aggregated,3.333333,2.166667,16,20,22,24,29,31,31,31,31,31,31,34,25,16,16.72256611944998,3.1871688552200794,30.920404940843582,249.11764705882354
1771034840,10,,Aggregated,3.714286,2.571429,16,20,22,23,26,29,31,31,31,31,31,41,32,16,16.29207740969411,3.1871688552200794,30.920404940843582,230.65853658536585
1771034841,10,,Aggregated,3.750000,2.750000,16,20,22,24,26,29,31,31,31,31,31,44,34,15,16.155657591298223,2.887521870434284,30.920404940843582,246.3409090909091
